	RCC4-EV	RCC4-VHL
A1BG	3.69995261454759	0.678656566384439
A1BG-AS1	0	0
A1CF	0	0
A2M	0	0
A2M-AS1	0.587337761764159	0
A2ML1	0	0
A2ML1-AS1	0	0
A2ML1-AS2	0	0
A2MP1	0	0
A3GALT2	1.39699448592555	7.03966894614614
A4GALT	113.010524500334	117.024251623075
A4GNT	0.738573554287598	0
AAAS	803.293062596631	569.207163218035
AACS	292.675060916846	184.175592684769
AACSP1	1.79020327850871	5.45765779228083
AADAC	0	0
AADACL2	0	0
AADACL2-AS1	0	0
AADACL3	0	0
AADACL4	0	0
AADACP1	0	0
AADAT	339.765943097179	194.860806730744
AAGAB	372.005137549444	708.533308426708
AAK1	707.590489714733	523.342338036988
AAMDC	524.27425017244	254.459460065085
AAMP	1858.94990126878	1703.35992253499
AANAT	0	0
AAR2	728.195347466357	483.606089882168
AARD	9.89972383267543	0
AARS1	1631.39289242577	2379.92976400151
AARS1P1	0	0
AARS2	143.842865438008	111.893811506693
AARSD1	490.220439608783	460.97014537871
AARSD1P1	0	0
AASDH	91.2502184650661	51.545835371392
AASDHPPT	682.345571883649	783.260780492026
AASS	80.1216157910961	46.8565073054073
AATBC	0	0
AATF	2545.34964658257	1685.90273442493
AATK	0.101065713756315	0
ABALON	33.5928049440883	7.60295936283879
ABAT	20.9851772513213	74.8881688909235
ABCA1	81.8977347429411	57.8576904597413
ABCA10	1.42177009692029	0.606455480537603
ABCA11P	33.0297092960968	33.2110487397123
ABCA12	18.7109212732487	69.1668320603185
ABCA13	0.577884190988389	0.554775145939024
ABCA15P	10.684626285731	3.22198922493496
ABCA17P	99.6351302852855	3.45989117203949
ABCA2	232.099801708932	331.789114771273
ABCA3	593.931808769314	357.266931018296
ABCA3P1	0	0
ABCA4	0	1.31501010867923
ABCA5	103.646645277545	18.4665946128019
ABCA6	0.592032537318718	0
ABCA7	22.4819997374478	12.2776748037031
ABCA8	0	0
ABCA9	0	0
ABCA9-AS1	0	0
ABCB1	483.376139726681	735.591201494487
ABCB10	176.958681185754	162.509737261068
ABCB10P1	0	0
ABCB10P3	0	0
ABCB10P4	0	0
ABCB11	0.707673395183048	1.55846275079354
ABCB4	0.611601215425673	0.339160080313135
ABCB5	1.02975633811465	9.79691361617182
ABCB6	362.704445737641	205.275886952909
ABCB7	407.349349854049	242.726047727378
ABCB8	245.061607537513	318.668196884002
ABCB9	37.0295300292473	30.3681888042329
ABCC1	288.118226404036	438.076072531938
ABCC10	128.936526254507	109.960424538421
ABCC11	0.345791559482122	2.82822628499916
ABCC12	0	0.64373344361461
ABCC13	0	0
ABCC2	74.112153702039	682.806509867921
ABCC3	1407.58534473952	1998.21483886339
ABCC4	490.98370341451	750.087093816831
ABCC5	240.403024434502	434.334000004875
ABCC5-AS1	0	0
ABCC6	17.2677472677774	87.76386800585
ABCC6P1	0	7.1166217633271
ABCC6P2	0	0
ABCC8	0	0.892127045302005
ABCC9	18.1908041614703	101.421458204199
ABCD1	35.8667621637165	53.602599151472
