Gene name	NCBI gene (formerly Entrezgene) ID
MT-TF	
MT-RNR1	
MT-TV	
MT-RNR2	
MT-TL1	
MT-ND1	4535
MT-TI	
MT-TQ	
MT-TM	
MT-ND2	4536
MT-TW	
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	4512
MT-TS1	113219467
MT-TD	
MT-CO2	4513
MT-TK	
MT-ATP8	4509
MT-ATP6	4508
MT-CO3	4514
MT-TG	
MT-ND3	4537
MT-TR	
MT-ND4L	4539
MT-ND4	4538
MT-TH	
MT-TS2	
MT-TL2	
MT-ND5	4540
MT-ND6	4541
MT-TE	
MT-CYB	4519
MT-TT	
MT-TP	
5S_rRNA	
	
	102724250
5_8S_rRNA	124907156
5_8S_rRNA	124907485
5_8S_rRNA	124908250
LINC01115	339822
LINC02109	
SNTG2	54221
INTS3	65123
KIR3DL2	3812
PCMTD2	55251
KIR3DL3	115653
KIR3DL1	3811
SBNO2	22904
KIR2DL3	3804
PTCHD3	374308
LILRP2	79166
KIR3DP1	
KIR2DL4	3805
KIR2DL4	124900568
KIR2DS2	100132285
KIR2DS2	124900573
KIR2DS2	124900575
LILRP1	
OPRL1	4987
ODAD2P1	
FAM210CP	
TRIAP1P1	
U6	
FCAR	2204
NPBWR2	2832
KIR3DS1	3813
MYT1	4661
PPIAL4F	728945
KIR2DS4	3809
KIR2DL1	3802
GEMIN2P1	
U1	124904616
GATAD2B	57459
RNVU1-26	124904624
NCR1	9437
RNVU1-2A	6063
KIR2DS5	3810
KIR2DL2	3803
LINC00254	64735
HS3ST6	64711
KIR2DL5A	57292
KIR2DL5A	124900569
MEIOB	254528
SLC27A3	11000
LINC02124	105371048
LINC01839	
KIR2DS3	3808
LINC02054	105374250
ADI1	55256
TRAPPC12	51112
OR9G4	283189
OR5G3	
OR9G3P	
OR5G1P	
OR5G4P	
OR9G2P	
OR9G1	390174
U6	124905334
OR9G9	504191
KIR2DP1	
LINC02735	101927120
OR5G5P	
Y_RNA	
Metazoa_SRP	
KIR2DL5B	553128
KIR2DL5B	124900574
RNA5-8SN5	100008587
RNA5-8SN5	124900510
RNA5-8SN5	124907114
RNA5-8SN5	124907115
RNA5-8SN5	124907116
RNA5-8SN5	124907117
RNA5-8SN5	124907118
RNA5-8SN5	124907119
RNA5-8SN5	124907120
RNA5-8SN5	124907121
RNA5-8SN5	124907122
RNA5-8SN5	124907123
RNA5-8SN5	124907124
RNA5-8SN5	124907125
RNA5-8SN5	124907126
RNA5-8SN5	124907127
RNA5-8SN5	124907128
RNA5-8SN5	124907129
RNA5-8SN5	124907130
RNA5-8SN5	124907131
RNA5-8SN5	124907132
RNA5-8SN5	124907133
RNA5-8SN5	124907134
RNA5-8SN5	124907135
RNA5-8SN5	124907136
RNA5-8SN5	124907137
RNA5-8SN5	124907138
RNA5-8SN5	124907139
RNA5-8SN5	124907140
RNA5-8SN5	124907141
RNA5-8SN5	124907142
RNA5-8SN5	124907143
RNA5-8SN5	124907144
RNA5-8SN5	124907145
RNA5-8SN5	124907146
RNA5-8SN5	124907147
RNA5-8SN5	124907148
RNA5-8SN5	124907149
RNA5-8SN5	124907150
RNA5-8SN5	124907151
RNA5-8SN5	124907152
RNA5-8SN5	124907153
RNA5-8SN5	124907154
RNA5-8SN5	124907155
RNA5-8SN5	124907160
RNA5-8SN5	124907172
RNA5-8SN5	124907183
RNA5-8SN5	124907194
RNA5-8SN5	124907205
RNA5-8SN5	124907216
RNA5-8SN5	124907227
RNA5-8SN5	124907238
RNA5-8SN5	124907248
RNA5-8SN5	124907258
RNA5-8SN5	124907269
RNA5-8SN5	124907280
RNA5-8SN5	124907291
RNA5-8SN5	124907302
RNA5-8SN5	124907313
RNA5-8SN5	124907324
RNA5-8SN5	124907327
RNA5-8SN5	124907328
RNA5-8SN5	124907329
RNA5-8SN5	124907330
RNA5-8SN5	124907331
RNA5-8SN5	124907332
RNA5-8SN5	124907333
RNA5-8SN5	124907334
RNA5-8SN5	124907335
RNA5-8SN5	124907336
RNA5-8SN5	124907337
RNA5-8SN5	124907338
RNA5-8SN5	124907339
RNA5-8SN5	124907340
RNA5-8SN5	124907341
RNA5-8SN5	124907342
RNA5-8SN5	124907343
RNA5-8SN5	124907439
RNA5-8SN5	124907440
RNA5-8SN5	124907450
RNA5-8SN5	124907458
RNA5-8SN5	124907467
RNA5-8SN5	124907475
RNA5-8SN5	124907476
RNA5-8SN5	124907477
RNA5-8SN5	124907478
RNA5-8SN5	124907479
RNA5-8SN5	124907480
RNA5-8SN5	124907481
RNA5-8SN5	124907482
RNA5-8SN5	124907483
RNA5-8SN5	124907484
RNA5-8SN5	124907572
RNA5-8SN5	124907573
RNA5-8SN5	124907574
RNA5-8SN5	124907575
RNA5-8SN5	124907576
RNA5-8SN5	124907577
