g1.t1	ENSP00000497018.1
g10.t1	ENSP00000423820.1
g1000.t1	ENSP00000502079.1
g10000.t1	ENSP00000375053.4
g10001.t1	ENSP00000387814.1
g10002.t1	ENSP00000217109.4
g10008.t1	ENSP00000368977.1
g10009.t1	ENSP00000449370.1
g1001.t1	ENSP00000252804.4
g10010.t1	ENSP00000496252.1
g10013.t1	ENSP00000410289.1
g10015.t1	ENSP00000345968.4
g10016.t1	ENSP00000345968.4
g10017.t1	ENSP00000352839.1
g1002.t1	ENSP00000252804.4
g10020.t1	ENSP00000356237.4
g10022.t1	ENSP00000397570.2
g10023.t1	ENSP00000263276.6
g10026.t1	ENSP00000303043.3
g10027.t1	ENSP00000384190.4
g10028.t1	ENSP00000292733.7
g1003.t1	ENSP00000502079.1
g10030.t1	ENSP00000384344.1
g10031.t1	ENSP00000364902.3
g10032.t1	ENSP00000447824.1
g10033.t1	ENSP00000464813.1
g10034.t1	ENSP00000457022.1
g10035.t1	ENSP00000289004.4
g10036.t1	ENSP00000411916.2
g10037.t1	ENSP00000378105.3
g10038.t1	ENSP00000316176.2
g10039.t1	ENSP00000442190.2
g1004.t1	ENSP00000318351.5
g10042.t1	ENSP00000285928.2
g10043.t1	ENSP00000269298.5
g10045.t1	ENSP00000494360.1
g10047.t1	ENSP00000442318.1
g10048.t1	ENSP00000466495.1
g10049.t1	ENSP00000510085.1
g10050.t1	ENSP00000353770.2
g10051.t1	ENSP00000333666.3
g10053.t1	ENSP00000359911.1
g10054.t1	ENSP00000459019.1
g10055.t1	ENSP00000299198.2
g10056.t1	ENSP00000498217.1
g10058.t1	ENSP00000225430.4
g10059.t1	ENSP00000394397.2
g10060.t1	ENSP00000363384.5
g10061.t1	ENSP00000335044.6
g10063.t1	ENSP00000257287.3
g10065.t1	ENSP00000257287.3
g10068.t1	ENSP00000257287.3
g10070.t1	ENSP00000257287.3
g10072.t1	ENSP00000335044.6
g10073.t1	ENSP00000363384.5
g10076.t1	ENSP00000368959.4
g10078.t1	ENSP00000261378.8
g10083.t1	ENSP00000286794.4
g10084.t1	ENSP00000392708.3
g10086.t1	ENSP00000446475.1
g10087.t1	ENSP00000251871.3
g10088.t1	ENSP00000261879.5
g10089.t1	ENSP00000432304.1
g1009.t1	ENSP00000351602.2
g10090.t1	ENSP00000424247.1
g10091.t1	ENSP00000380882.1
g10092.t1	ENSP00000267460.4
g10094.t1	ENSP00000364289.3
g10095.t1	ENSP00000310129.4
g10096.t1	ENSP00000497279.1
g10097.t1	ENSP00000414786.2
g10098.t1	ENSP00000231420.6
g10099.t1	ENSP00000510792.1
g101.t1	ENSP00000371308.4
g10100.t1	ENSP00000243776.6
g10101.t1	ENSP00000273668.2
g10103.t1	ENSP00000363397.3
g10104.t1	ENSP00000285398.2
g10105.t1	ENSP00000455229.1
g10107.t1	ENSP00000361331.2
g10108.t1	ENSP00000295901.4
g10109.t1	ENSP00000408295.2
g1011.t1	ENSP00000507313.1
g10115.t1	ENSP00000384302.3
g10116.t1	ENSP00000317473.3
g10117.t1	ENSP00000398502.3
g10118.t1	ENSP00000353373.2
g10119.t1	ENSP00000328062.6
g10120.t1	ENSP00000268482.3
g10121.t1	ENSP00000468402.1
g10122.t1	ENSP00000516445.1
g10124.t1	ENSP00000508683.1
g10125.t1	ENSP00000378377.1
g1013.t1	ENSP00000443664.1
g10131.t1	ENSP00000262962.6
g10133.t1	ENSP00000460236.1
g10135.t1	ENSP00000421580.1
g10136.t1	ENSP00000220592.5
g10137.t1	ENSP00000427189.1
g10139.t1	ENSP00000222673.5
g10141.t1	ENSP00000418397.3
g10142.t1	ENSP00000228347.4
g10143.t1	ENSP00000291565.4
g10144.t1	ENSP00000362127.3
g10145.t1	ENSP00000464863.1
g10146.t1	ENSP00000358217.5
g10147.t1	ENSP00000356036.1
g10148.t1	ENSP00000355001.2
g10150.t1	ENSP00000512640.1
g10154.t1	ENSP00000363296.4
g10155.t1	ENSP00000379326.3
g10156.t1	ENSP00000273064.6
g10157.t1	ENSP00000442862.1
g10158.t1	ENSP00000261693.6
g10159.t1	ENSP00000352354.2
g1016.t1	ENSP00000402634.1
g10160.t1	ENSP00000256997.3
g10162.t1	ENSP00000322568.3
g10163.t1	ENSP00000446479.1
g10164.t1	ENSP00000423772.1
g10165.t1	ENSP00000364903.3
g10168.t1	ENSP00000472985.1
g1017.t1	ENSP00000410648.2
g10170.t1	ENSP00000423279.1
g10171.t1	ENSP00000344307.6
g10172.t1	ENSP00000357504.1
g10174.t1	ENSP00000011619.3
g10175.t1	ENSP00000357342.3
g10176.t1	ENSP00000261917.3
g1018.t1	ENSP00000327797.3
g10182.t1	ENSP00000354997.4
g10183.t1	ENSP00000395942.2
g10184.t1	ENSP00000269445.6
g10185.t1	ENSP00000225665.7
g10186.t1	ENSP00000225665.7
g10189.t1	ENSP00000232424.3
g1019.t1	ENSP00000383909.3
g10190.t1	ENSP00000274181.7
g10191.t1	ENSP00000377384.2
g10192.t1	ENSP00000261615.4
g10193.t1	ENSP00000324804.6
g10195.t1	ENSP00000219833.8
g10196.t1	ENSP00000415682.2
g10197.t1	ENSP00000227378.3
g10198.t1	ENSP00000228506.3
g10199.t1	ENSP00000501261.1
g102.t1	ENSP00000340507.4
g10200.t1	ENSP00000357178.3
g10201.t1	ENSP00000354957.5
g10203.t1	ENSP00000268129.5
g10204.t1	ENSP00000497469.1
g10205.t1	ENSP00000316054.3
g10206.t1	ENSP00000264205.6
g10207.t1	ENSP00000496496.1
g10208.t1	ENSP00000434335.1
g10209.t1	ENSP00000295874.10
g1021.t1	ENSP00000261454.4
g10211.t1	ENSP00000341619.3
g10217.t1	ENSP00000259239.3
g10218.t1	ENSP00000216106.5
g10219.t1	ENSP00000370737.4
g10220.t1	ENSP00000356789.3
g10221.t1	ENSP00000286371.3
g10222.t1	ENSP00000356789.3
g10223.t1	ENSP00000252116.5
g10224.t1	ENSP00000336587.5
g10227.t1	ENSP00000324122.4
g10230.t1	ENSP00000355517.4
g10231.t1	ENSP00000406674.3
g10232.t1	ENSP00000358451.4
g10234.t1	ENSP00000397545.2
g10235.t1	ENSP00000506456.1
g10236.t1	ENSP00000365401.3
g10237.t1	ENSP00000261413.5
g10238.t1	ENSP00000267973.2
g10240.t1	ENSP00000423224.1
g10242.t1	ENSP00000463950.1
g10244.t1	ENSP00000245407.3
g10245.t1	ENSP00000363972.3
g10246.t1	ENSP00000493279.1
g10248.t1	ENSP00000352516.3
g10249.t1	ENSP00000356856.6
g10250.t1	ENSP00000215539.3
g10251.t1	ENSP00000406302.1
g10253.t1	ENSP00000516378.1
g10254.t1	ENSP00000378368.3
g10256.t1	ENSP00000319851.5
g10257.t1	ENSP00000319851.5
g10258.t1	ENSP00000319851.5
g10259.t1	ENSP00000319851.5
g10260.t1	ENSP00000319851.5
g10261.t1	ENSP00000319851.5
g10262.t1	ENSP00000319851.5
g10263.t1	ENSP00000319851.5
g10264.t1	ENSP00000295588.4
g10265.t1	ENSP00000308208.6
g10266.t1	ENSP00000368091.5
g10271.t1	ENSP00000220592.5
g10272.t1	ENSP00000445340.2
g10273.t1	ENSP00000311977.5
g10276.t1	ENSP00000311713.3
g10277.t1	ENSP00000382237.3
g10279.t1	ENSP00000275461.3
g10281.t1	ENSP00000476028.1
g10282.t1	ENSP00000243389.3
g10283.t1	ENSP00000324124.4
g10284.t1	ENSP00000382522.1
g10286.t1	ENSP00000359160.2
g10288.t1	ENSP00000309818.2
g10289.t1	ENSP00000323527.6
g10290.t1	ENSP00000418137.2
g10291.t1	ENSP00000188312.2
g10292.t1	ENSP00000348565.4
g10293.t1	ENSP00000495912.1
g10294.t1	ENSP00000401064.2
g10295.t1	ENSP00000362653.4
g10296.t1	ENSP00000288025.3
g10297.t1	ENSP00000265728.1
g10298.t1	ENSP00000391513.2
g103.t1	ENSP00000351100.5
g10303.t1	ENSP00000319104.6
g10304.t1	ENSP00000358478.3
g10305.t1	ENSP00000419873.2
g10308.t1	ENSP00000318315.7
